"","state_abbr","favor_dem","month","newcases_per100k_avg"
"541","NY",1,3,320.484663342894
"542","NY",1,4,922.694189201077
"543","NY",1,5,300.212451490427
"544","NY",1,6,105.859425164502
"545","NY",1,7,109.917751424058
"546","NY",1,8,100.748415315417
"547","NY",1,9,122.641811588241
"548","NY",1,10,246.828260532166
"549","NY",1,11,718.875969589548
"550","NY",0,3,59.3690560253506
"551","NY",0,4,274.654795776438
"552","NY",0,5,134.226947668855
"553","NY",0,6,51.2321560348229
"554","NY",0,7,65.7583087187292
"555","NY",0,8,62.2258261427883
"556","NY",0,9,89.8992612032827
"557","NY",0,10,287.740296002487
"558","NY",0,11,647.282280100853
"559","NC",0,3,7.7192598564466
"560","NC",0,4,76.4415566871686
"561","NC",0,5,164.053471649835
"562","NC",0,6,288.310595335528
"563","NC",0,7,504.853237317493
"564","NC",0,8,466.769637170921
"565","NC",0,9,417.644935579105
"566","NC",0,10,725.073501177558
"567","NC",0,11,884.743079948387
"568","NC",1,3,21.2702020836169
"569","NC",1,4,133.474910852478
"570","NC",1,5,220.842608442433
"571","NC",1,6,290.01641658855
"572","NC",1,7,529.236244340191
"573","NC",1,8,563.820485382328
"574","NC",1,9,481.010135630829
"575","NC",1,10,628.038825732451
"576","NC",1,11,814.04198081737
"577","ND",0,3,11.2339962413224
"578","ND",0,4,47.7055956960473
"579","ND",0,5,51.2974164395923
"580","ND",0,6,63.6500122819329
"581","ND",0,7,317.269374698214
"582","ND",0,8,550.281147812331
"583","ND",0,9,1225.15126531263
"584","ND",0,10,2933.34341456418
"585","ND",0,11,4223.58264454813
"586","ND",1,3,11.8203309692671
"587","ND",1,4,3.52708803611738
"588","ND",1,5,29.455771149854
"589","ND",1,6,274.155633468347
"590","ND",1,7,457.085594672046
"591","ND",1,8,1077.46619331978
"592","ND",1,9,701.69373602506
"593","ND",1,10,2348.35189098613
"594","ND",1,11,6039.57376099985
"595","OH",0,3,8.15928946719694
"596","OH",0,4,138.677553449498
"597","OH",0,5,110.58014591253
"598","OH",0,6,78.1190040167142
"599","OH",0,7,213.291309463457
"600","OH",0,8,250.011229799297
"601","OH",0,9,236.366736399992
"602","OH",0,10,610.8589175115
"603","OH",0,11,1859.36040920275
"604","OH",1,3,29.8972319865874
"605","OH",1,4,152.61860540903
"606","OH",1,5,185.610865823741
"607","OH",1,6,151.943394470024
"608","OH",1,7,424.720557537373
"609","OH",1,8,264.046962715754
"610","OH",1,9,278.434586777373
"611","OH",1,10,510.996320719032
